[root@ip-10-0-4-142 ec2-user]# netstat -a --numeric-ports
Active Internet connections (servers and established)
Proto Recv-Q Send-Q Local Address               Foreign Address             State
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:40016 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:24844 ESTABLISHED
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:23366 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:12894 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:45088 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:61178 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:23438 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:23720 ESTABLISHED
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:23870 CLOSE_WAIT
tcp     1032      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:25972 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:23420 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:23192 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:24758 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:24198 ESTABLISHED
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:23876 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:23792 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:24920 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:23730 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:50510 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:23418 CLOSE_WAIT
tcp     1047      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:25988 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:21236 CLOSE_WAIT
tcp      986      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:1934 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:17628 CLOSE_WAIT
tcp      142      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:4166 ESTABLISHED
tcp     2087      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:25770 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:44426 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:23062 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:22784 CLOSE_WAIT
tcp      982      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:2012 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:23966 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:43294 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-220.us-west:25120 CLOSE_WAIT
tcp      160      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-54.us-west-:23406 CLOSE_WAIT
tcp      936      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west-:1784 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:41796 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:32040 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-6-163.us-west:32480 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:46878 CLOSE_WAIT
tcp      993      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:26254 CLOSE_WAIT
tcp      143      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:59348 CLOSE_WAIT
tcp     1094      0 ip-10-0-4-142.us-west-:9080 ip-10-0-4-159.us-west:26040 CLOSE_WAIT
